log N,time,self.uav_coord[0],self.uav_coord[1],self.gcs_coord[0],self.gcs_coord[1],self.uav_alt,self.gcs_alt,self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.uav_heading,self.gcs_heading,self.uav_vel[0],self.uav_vel[1],self.uav_vel[2],self.gcs_vel[0],self.gcs_vel[1],self.gcs_vel[2],self.uav_pose[0],self.uav_pose[1],self.uav_pose[2],self.goal_pose[0],self.goal_pose[1],self.goal_pose[2],self.goal_mode,self.L, roll_cmd,pitch_cmd,yaw_cmd,thr_cmd,self.voltage,self.current  
45,0,43.684329,-72.233415,43.684294,-72.233289,0.010000,0.010000,1.570000,0.000000,10.000000,2.574462,1.481315,0.010000,0.000000,0.000000,0.010000,-0.010000,0.020000,1.570796,-0.458245,10.827951,1.570000,0.000000,10.000000,0.000000,0.000000,0.199659,-0.021087,1.939560,0.500431,22.262000,0.034000 
46,0,43.684329,-72.233415,43.684294,-72.233289,0.010000,0.010000,1.570000,0.000000,10.000000,2.574008,1.481315,0.010000,0.000000,0.000000,0.010000,-0.010000,0.020000,1.570796,-0.458245,10.827951,1.570000,0.000000,10.000000,0.000000,0.000000,0.199659,-0.021087,1.939560,0.500431,22.262000,0.034000 
47,0,43.684329,-72.233416,43.684294,-72.233289,0.010000,0.010000,1.570000,0.000000,10.000000,2.573099,1.481315,0.000000,0.000000,0.000000,0.010000,-0.010000,0.020000,1.570796,-0.454533,10.933038,1.570000,0.000000,10.000000,0.000000,0.000000,0.200646,-0.029113,1.935849,0.500439,22.296000,0.041000 
48,0,43.684329,-72.233416,43.684294,-72.233289,0.010000,0.010000,1.570000,0.000000,10.000000,2.572733,1.481315,0.000000,0.000000,0.000000,0.010000,-0.010000,0.020000,1.570796,-0.454533,10.933038,1.570000,0.000000,10.000000,0.000000,0.000000,0.200577,-0.023763,1.935849,0.500435,22.296000,0.041000 
49,0,43.684329,-72.233418,43.684294,-72.233290,0.010000,0.010000,1.570000,0.000000,10.000000,2.572979,1.481315,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000,1.570796,-0.451239,10.996732,1.570000,0.000000,10.000000,0.000000,0.000000,0.200447,-0.028627,1.932555,0.500440,22.306000,0.044000 
50,0,43.684329,-72.233418,43.684294,-72.233290,0.010000,0.010000,1.570000,0.000000,10.000000,2.574344,1.481475,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000,1.570796,-0.451080,10.996732,1.570000,0.000000,10.000000,0.000000,0.000000,0.200764,-0.025384,1.932555,0.500438,22.233000,0.037000 
51,0,43.684329,-72.233418,43.684294,-72.233290,0.010000,0.010000,1.570000,0.000000,10.000000,2.574344,1.481475,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000,1.570796,-0.451080,10.996732,1.570000,0.000000,10.000000,0.000000,0.000000,0.200834,-0.025384,1.932555,0.500438,22.233000,0.037000 
52,0,43.684329,-72.233418,43.684294,-72.233290,0.010000,0.010000,1.570000,0.000000,10.000000,2.575152,1.481475,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000,1.570796,-0.451584,11.076228,1.570000,0.000000,10.000000,0.000000,0.000000,0.203759,-0.031454,1.933059,0.500444,22.345000,0.035000 
53,0,43.684330,-72.233417,43.684294,-72.233290,0.010000,0.010000,1.570000,0.000000,10.000000,2.576074,1.481475,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000,1.570796,-0.456324,11.001519,1.570000,0.000000,10.000000,0.000000,0.000000,0.203039,-0.021702,1.937799,0.500435,22.288000,0.025000 
54,0,43.684330,-72.233417,43.684294,-72.233290,0.010000,0.010000,1.570000,0.000000,10.000000,2.576211,1.481475,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000,1.570796,-0.456324,11.001519,1.570000,0.000000,10.000000,0.000000,0.000000,0.202149,-0.025506,1.937799,0.500438,22.288000,0.025000 
55,0,43.684330,-72.233417,43.684294,-72.233290,0.010000,0.010000,1.570000,0.000000,10.000000,2.576211,1.481475,0.000000,0.000000,0.000000,-0.010000,0.010000,0.010000,1.570796,-0.456324,11.001519,1.570000,0.000000,10.000000,0.000000,0.000000,0.202149,-0.025506,1.937799,0.500438,22.292000,0.041000 
56,0,43.684330,-72.233417,43.684294,-72.233290,0.010000,0.000000,1.570000,0.000000,10.000000,2.575577,1.481961,0.010000,0.000000,0.000000,-0.010000,-0.010000,0.010000,1.569885,-0.456889,10.971506,1.570000,0.000000,10.000000,0.000000,0.000000,0.201749,-0.023237,1.938851,0.499415,22.292000,0.041000 
57,0,43.684330,-72.233417,43.684294,-72.233290,0.010000,0.000000,1.570000,0.000000,10.000000,2.575577,1.481961,0.010000,0.000000,0.000000,-0.010000,-0.010000,0.010000,1.569885,-0.456889,10.971506,1.570000,0.000000,10.000000,0.000000,0.000000,0.201878,-0.024755,1.938851,0.499915,22.292000,0.041000 
58,0,43.684329,-72.233415,43.684294,-72.233290,0.010000,0.000000,1.570000,0.000000,10.000000,2.577271,1.481961,0.000000,0.000000,0.000000,-0.010000,-0.010000,0.010000,1.569870,-0.461133,10.791035,1.570000,0.000000,10.000000,0.000000,0.000000,0.198759,-0.010961,1.943095,0.499913,22.294000,0.043000 
59,0,43.684329,-72.233415,43.684294,-72.233290,0.010000,0.000000,1.570000,0.000000,10.000000,2.577271,1.481961,0.000000,0.000000,0.000000,-0.010000,-0.010000,0.010000,1.569870,-0.461133,10.791035,1.570000,0.000000,10.000000,0.000000,0.000000,0.199788,-0.020158,1.943095,0.499911,22.294000,0.043000 
60,0,43.684329,-72.233414,43.684294,-72.233290,0.010000,0.000000,1.570000,0.000000,10.000000,2.581205,1.481961,0.000000,0.000000,0.000000,-0.010000,-0.010000,0.010000,1.569863,-0.459450,10.714946,1.570000,0.000000,10.000000,0.000000,0.000000,0.196200,-0.014342,1.941412,0.499910,22.265000,0.042000 
61,0,43.684329,-72.233414,43.684294,-72.233290,0.010000,0.000000,1.570000,0.000000,10.000000,2.580887,1.481961,-0.010000,0.000000,0.000000,-0.010000,-0.010000,0.010000,1.569863,-0.459450,10.714946,1.570000,0.000000,10.000000,0.000000,0.000000,0.198120,-0.018219,1.941412,0.499910,22.265000,0.042000 
62,0,43.684329,-72.233414,43.684294,-72.233290,0.010000,-0.020000,1.570000,0.000000,10.000000,2.580887,1.481264,-0.010000,0.000000,0.000000,-0.010000,-0.010000,0.000000,1.567991,-0.457513,10.695443,1.570000,0.000000,10.000000,0.000000,0.000000,0.196620,-0.016757,1.938777,0.497879,22.258000,0.041000 
63,0,43.684329,-72.233414,43.684294,-72.233290,0.010000,-0.020000,1.570000,0.000000,10.000000,2.581525,1.481264,-0.020000,-0.020000,-0.010000,-0.010000,-0.010000,0.000000,1.567991,-0.457513,10.695443,1.570000,0.000000,10.000000,0.000000,0.000000,0.197554,-0.017738,1.938777,0.498877,22.343000,0.039000 
64,0,43.684329,-72.233415,43.684294,-72.233290,0.010000,-0.020000,1.570000,0.000000,10.000000,2.590491,1.481294,-0.010000,-0.040000,0.010000,0.020000,-0.010000,0.000000,1.568008,-0.456297,10.759475,1.570000,0.000000,10.000000,0.000000,0.000000,0.198862,-0.022637,1.937590,0.498869,22.318000,0.043000 
65,0,43.684329,-72.233415,43.684295,-72.233291,0.010000,-0.030000,1.570000,0.000000,10.000000,2.598903,1.480716,0.000000,0.010000,-0.020000,0.010000,0.000000,0.000000,1.567069,-0.456713,10.733000,1.570000,0.000000,10.000000,0.000000,0.000000,0.197965,-0.017359,1.937429,0.497863,22.318000,0.043000 
66,0,43.684329,-72.233416,43.684295,-72.233291,0.010000,-0.030000,1.570000,0.000000,10.000000,2.594442,1.480303,0.000000,-0.030000,-0.040000,-0.010000,-0.020000,0.000000,1.567089,-0.458410,10.790009,1.570000,0.000000,10.000000,0.000000,0.000000,0.201086,-0.023067,1.938712,0.498348,22.164000,0.031000 
67,0,43.684329,-72.233416,43.684295,-72.233291,0.010000,-0.030000,1.570000,0.000000,10.000000,2.593842,1.480365,0.000000,-0.010000,-0.030000,-0.010000,-0.020000,0.000000,1.567089,-0.458348,10.790009,1.570000,0.000000,10.000000,0.000000,0.000000,0.199423,-0.020158,1.938712,0.498356,22.318000,0.027000 
68,0,43.684330,-72.233417,43.684295,-72.233291,0.010000,-0.050000,1.570000,0.000000,10.000000,2.593781,1.480317,0.010000,0.020000,0.000000,0.030000,0.010000,0.000000,1.565260,-0.463339,10.836741,1.570000,0.000000,10.000000,0.000000,0.000000,0.204634,-0.023770,1.943657,0.496305,22.266000,0.027000 
